PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
A.J. Price,PG,12.40%,-,-,6' 0.5'',6' 2'',8' 1'',192.8,6' 3.75''
Austin Daye,SF-PF,5.50%,-,-,6' 9.75'',6' 10.75'',9' 2'',191.8,7' 2.75''
Blake Griffin,PF,8.20%,-,-,6' 8.5'',6' 10'',8' 9'',248.4,6' 11.25''
Byron Mullens,C,8.50%,-,-,6' 11.75'',7' 1.25'',9' 3'',258.2,7' 1.5''
Chase Budinger,SF-SG,10.00%,-,-,6' 6.25'',6' 7'',8' 5'',206.4,6' 7''
DaJuan Summers,SF,6.60%,-,-,6' 7.25'',6' 8.5'',8' 10.5'',243,7' 0.75''
Danny Green,SG-SF,5.60%,-,-,6' 5.25'',6' 6.5'',8' 7'',208,6' 10''
Dante Cunningham,PF,4.80%,-,-,6' 7'',6' 8.25'',8' 10.5'',227.4,6' 11''
Darren Collison,PG,5.70%,-,-,6' 0.25'',6' 1.5'',8' 0.5'',166.2,6' 3''
DeJuan Blair,PF,12.00%,-,-,6' 5.25'',6' 6.5'',8' 10.5'',276.6,7' 2''
DeMar DeRozan,SG-SF,4.90%,-,-,6' 5.5'',6' 6.5'',8' 6.5'',211.2,6' 9''
DeMarre Carroll,PF-SF,6.30%,-,-,6' 6.25'',6' 7.75'',8' 9'',207.2,6' 10''
Derrick Brown,SF-PF,8.60%,-,-,6' 7.5'',6' 8.5'',8' 11.5'',224.6,7' 2.5''
Dionte Christmas,SG,7.10%,-,-,6' 4.25'',6' 5.5'',8' 6.5'',210.8,6' 9''
Earl Clark,SF-PF,5.20%,-,-,6' 8.5'',6' 10.25'',9' 1.5'',228.4,7' 2.5''
Eric Maynor,PG,5.40%,-,-,6' 2.25'',6' 3.25'',8' 1'',163.6,6' 2.5''
Gerald Henderson,SG-SF,4.40%,-,-,6' 4'',6' 5'',8' 6.5'',214.6,6' 10.25''
Hasheem Thabeet,C,6.70%,-,-,7' 1.25'',7' 2.5'',9' 5'',267.2,7' 6.25''
Jack McClinton,SG-PG,6.20%,-,-,5' 11.75'',6' 0.75'',8' 0'',185.2,6' 2.5''
James Harden,SG,10.10%,-,-,6' 4'',6' 5.25'',8' 7.5'',222,6' 10.75''
James Johnson,SF-PF,12.00%,-,-,6' 7'',6' 7.75'',8' 9.5'',257.2,7' 0.75''
Jeff Adrien,PF,7.90%,-,-,6' 5.25'',6' 6.5'',8' 11.5'',236.2,7' 2''
Jeff Ayres,PF,5.50%,-,-,6' 8.75'',6' 10'',8' 11'',239.6,7' 1''
Jeff Teague,PG,4.50%,-,-,6' 0.25'',6' 1.5'',8' 2.5'',175.2,6' 7.5''
Jerel McNeal,SG,5.40%,-,-,6' 1.5'',6' 3'',8' 3.5'',190.4,6' 7.25''
Jermaine Taylor,SG,5.80%,-,-,6' 3.5'',6' 4.75'',8' 5'',207.4,6' 8.75''
Jodie Meeks,SG,8.00%,-,-,6' 3'',6' 4'',8' 2'',211.4,6' 4.5''
Joe Ingles,SF,10.10%,-,-,6' 7.75'',6' 8.25'',8' 9'',209.2,6' 10.25''
Jonny Flynn,PG,6.30%,-,-,5' 11.25'',6' 0.75'',7' 11.5'',195.6,6' 4''
Jordan Hill,PF-C,6.00%,-,-,6' 9.25'',6' 10.25'',9' 0'',232.4,7' 1.5''
Josh Heytvelt,PF-C,10.80%,-,-,6' 10'',6' 11'',9' 0'',246.2,7' 1.25''
Jrue Holiday,PG-SG,6.30%,-,-,6' 3.25'',6' 4.25'',8' 4.5'',199,6' 7''
Marcus Thornton,SG,4.80%,-,-,6' 2.75'',6' 3.75'',8' 3'',194.4,6' 5''
Omri Casspi,SF,8.60%,-,-,6' 7.75'',6' 9.25'',8' 10.5'',211.2,6' 9.25''
Patty Mills,PG,6.90%,-,-,5' 11.25'',6' 0.5'',7' 11'',175.4,6' 2''
Rodrigue Beaubois,PG,7.90%,-,-,6' 1.25'',6' 2.25'',8' 4'',182.4,6' 9.75''
Sam Young,SF-SG,4.90%,-,-,6' 5.25'',6' 6.75'',8' 9.5'',222.8,6' 10.75''
Stephen Curry,PG-SG,5.70%,-,-,6' 2'',6' 3.25'',8' 1'',181,6' 3.5''
Taj Gibson,PF,6.60%,-,-,6' 8.5'',6' 9.75'',9' 1'',214.4,7' 4''
Terrence Williams,SG-SF,5.10%,-,-,6' 5'',6' 6.25'',8' 7.5'',213.2,6' 9''
Toney Douglas,PG,5.20%,-,-,6' 1'',6' 2'',8' 1.5'',183.4,6' 6''
Ty Lawson,PG,6.60%,-,-,5' 11.25'',6' 0.5'',7' 10.5'',196.6,6' 0.75''
Tyler Hansbrough,PF,8.50%,-,-,6' 8.25'',6' 9.5'',8' 10'',234.2,6' 11.5''
Tyler Smith,SF,7.00%,-,-,6' 5.25'',6' 6'',8' 8.5'',212,6' 9.75''
Tyreke Evans,PG-SG,7.10%,-,-,6' 4'',6' 5.25'',8' 8'',220.6,6' 11.25''
Wayne Ellington,SG,5.50%,-,-,6' 4.25'',6' 5.25'',8' 4'',202.4,6' 6.5''