ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"1 Evans, Tyreke MEM",37,35,29,33.1,102.2,82.5,0.535,0.489,38.4,24.6,5,15.3,9.4,30.00%,4.30%,2.80%,18.40%
"2 Kingsley, Matt SFA",32,32,30,27.8,107.2,82.6,0.57,0.548,31.6,0.3,7.5,22,13.5,7.80%,1.00%,4.50%,11.60%
"3 Williams, Terrence LOU",37,36,34.2,20.7,108.8,83.1,0.522,0.504,29.8,37.8,4.5,22.7,12.9,27.00%,4.00%,2.30%,16.20%
"4 Brenton, Tommy STNBRK",30,29,28.5,13.5,112.4,83.9,0.566,0.527,79.4,15.3,9.6,28.4,16.8,12.30%,3.90%,2.50%,18.50%
"5 Dozier, Robert MEM",37,36,30.2,20.6,116.7,84.3,0.603,0.552,53.8,17.5,10.7,16.5,12.5,9.30%,2.50%,5.60%,15.80%
"6 Thabeet, Hasheem UCONN",36,36,31.8,18.9,122.1,84.3,0.659,0.64,76.3,0,13.4,21.7,16.4,2.90%,1.10%,11.90%,15.50%
"7 Taggart, Shawn MEM",37,27,25,19.9,120,84.5,0.578,0.516,50.9,8.4,13.6,19.9,15.4,2.80%,1.50%,5.60%,10.90%
"8 Daye, Austin GONZ",34,33,26.3,25.9,102.8,84.8,0.566,0.532,32.7,25.2,5,22.5,13.3,7.80%,1.60%,8.40%,16.10%
"9 Jackson, Cedric CLEVST",37,37,33.3,23.3,92.4,85,0.485,0.439,45.8,31.3,4.1,16.5,9.3,33.20%,5.70%,0.60%,24.20%
"10 Shaw, Nick SFA",32,32,29.7,12.8,100.7,85.3,0.54,0.515,28.2,43.6,4.7,18.7,10.6,10.10%,1.30%,0.70%,19.40%
"11 Faried, Kenneth MOREHD",36,36,30.1,23.6,113.1,85.7,0.577,0.559,54.2,1.4,16.5,33.3,23,11.50%,3.80%,7.20%,15.60%
"12 Aldrich, Cole KAN",35,35,29.6,21.9,126.9,86,0.649,0.598,46.2,0,12.5,28.4,19.4,7.20%,1.20%,9.60%,12.30%
"13 Linhart, Nate AKRON",36,36,29.9,19.6,105.3,86.2,0.562,0.512,31.5,42.2,6.7,18.1,11.1,11.00%,3.60%,2.00%,18.20%
"14 Davis, Mike ILL",34,34,30.7,21,107,86.2,0.551,0.533,18.7,0,7.4,23.5,14.6,13.80%,1.40%,2.30%,12.80%
"15 Bryant, John SCU",33,33,31,28.4,121.7,86.2,0.649,0.596,48.3,0.3,18.6,36.2,26.5,9.70%,1.00%,9.00%,15.10%
"16 Blakely, Marqus UVM",33,32,32.7,25,109.4,86.4,0.618,0.612,72.1,0.9,10.7,20.9,14.7,16.60%,3.60%,8.40%,20.10%
"17 Williams, Eddie SFA",32,23,24.3,18.6,100.7,86.7,0.505,0.495,24.5,22.6,0.9,9.1,4.6,22.60%,2.60%,0.70%,13.30%
"18 Casto, DeAngelo WSU",33,2,16.1,17.7,102.4,86.9,0.595,0.558,62.1,0,10.9,20.5,14.7,6.40%,1.80%,9.00%,23.40%
"19 Alexander, Josh SFA",31,31,33.9,23.6,106.2,86.9,0.538,0.49,31.1,58.4,8.1,10.4,8.4,5.80%,2.10%,1.60%,11.20%
"20 Blair, DeJuan PITT",35,35,27.3,25.6,129.9,87,0.608,0.593,42.5,0,23.7,27.7,23.6,9.10%,3.40%,3.80%,8.90%
"21 Hummel, Robbie PUR",32,27,29.5,21.6,117.5,87.1,0.572,0.534,30.5,50.3,6.8,20.2,12.5,14.00%,2.40%,2.20%,8.40%
"22 Kramer, Chris PUR",35,28,27.2,11.8,105,87.2,0.557,0.485,51.5,23.1,1.9,10.3,5.7,16.90%,4.90%,1.60%,21.90%
"23 Jordan, Jerome TULSA",36,35,26.9,25.8,114.5,87.2,0.639,0.586,60.6,0,11.2,24.7,16.7,9.10%,0.70%,9.60%,18.10%
"24 Freeman, Michael HAMPTN",31,19,24.9,21,84.5,87.5,0.496,0.428,52.3,3.6,5.8,14.4,9.1,4.50%,3.10%,4.50%,23.10%
"25 Sanders, Larry VCU",34,34,26.6,25.2,99.3,87.8,0.529,0.51,42.2,0,13.2,24.5,17.2,3.10%,1.50%,11.00%,16.60%
"26 Griffin, Blake OU",35,35,33.3,30.5,121.1,87.9,0.66,0.657,70.6,1.7,14.2,32.2,22.1,16.30%,2.00%,3.60%,16.20%
"27 Pegues, Alvin BETHCO",30,7,17.2,14.3,73.5,87.9,0.398,0.315,65.8,4.1,4,9.1,5.9,18.20%,5.20%,0.50%,31.90%
"28 Hayward, Gordon BUTLER",32,32,32.7,19.5,126.1,88.1,0.665,0.611,47.5,59,5.7,18.2,11.2,14.00%,3.00%,3.40%,14.40%
"29 Adams, Girod SFA",32,15,19.7,17.5,92.1,88.1,0.521,0.472,31,57.7,0.9,8.1,4.1,15.50%,2.20%,0.70%,21.80%
"30 Green, Marcus PUR",37,1,16.1,16.2,102,88.2,0.466,0.407,40.3,28.4,8.5,16.8,11.7,11.50%,2.50%,3.00%,12.70%
"31 Miller, Nate BGSU",30,17,30.2,27.8,100.3,88.3,0.517,0.519,32.2,19.1,7.2,20.3,12.7,18.90%,4.20%,1.70%,14.10%
"32 Simpson, Diamon STMARY",35,35,32.7,21.5,113.7,88.4,0.551,0.509,83.2,5,12.2,24,16.8,3.70%,3.20%,4.80%,11.30%
"33 Lovedale, Andrew DAVDSN",35,35,30.3,21.3,104.8,88.4,0.524,0.504,31.3,0,9.6,20.9,13.8,4.30%,1.60%,5.60%,12.40%
"34 Shuler, Jovonni SAVST",29,29,26.9,19,94.4,88.4,0.545,0.474,33,46.9,4.7,13.4,8.1,8.80%,4.80%,1.00%,22.10%
"35 Brooks, Jordan HAMPTN",32,9,16.1,15.4,74.1,88.5,0.362,0.274,45.2,47.6,2.6,9.3,5.3,35.80%,4.70%,0.00%,34.00%
"36 Varnado, Jarvis MSST",36,36,28.1,22.5,113.4,88.7,0.583,0.549,48.5,0.3,11.5,20.5,14.9,6.40%,1.30%,15.40%,13.10%
"37 Bell, Eric SFA",29,27,25.2,12.5,83.2,88.7,0.428,0.397,23.4,36.4,0.5,5.4,2.7,25.70%,2.70%,0.00%,31.00%
"38 Anderson, Antonio MEM",37,37,34.3,16.8,108.7,88.9,0.541,0.481,46.4,24.4,3.5,11.9,7.1,23.50%,2.50%,1.40%,19.50%
"39 Harrison, Donte HAMPTN",32,19,23.5,14.1,105.7,88.9,0.572,0.544,36.1,0.7,8.4,15.4,10.8,3.90%,1.80%,6.50%,16.60%
"40 Hardy, Patrick SAVST",29,1,18.3,16.7,81.3,88.9,0.421,0.384,22.3,29.8,5.2,11.4,7.4,14.90%,4.60%,2.40%,22.20%
"41 Curry, Stephen DAVDSN",34,34,33.7,38.2,119.1,89,0.611,0.549,36.5,48.9,1.9,12.2,6.3,40.20%,4.20%,0.80%,13.60%
"42 Clark, Earl LOU",37,36,34.3,24.3,101.3,89.1,0.522,0.492,31.4,21.5,9.1,18.7,13.1,18.20%,1.80%,4.10%,19.10%
"43 Howard, Matt BUTLER",32,32,27.8,26.3,126.4,89.1,0.642,0.554,85.1,3.3,11.9,17.8,13.7,10.60%,1.80%,6.40%,12.30%
"44 Rossiter, Steve DAVDSN",35,35,23.7,13.3,115.2,89.2,0.565,0.507,60.4,3.4,10.2,16.1,12,12.80%,2.90%,2.30%,19.30%
"45 Starling, Alexander BETHCO",33,33,29,18.5,90.4,89.2,0.466,0.4,46.6,18.6,10.3,21,14,4.40%,1.80%,2.90%,19.40%
"46 Springer, Gary IONA",24,20,22.6,28.7,103,89.3,0.61,0.582,84.1,0,15.3,23.4,17.6,2.30%,2.50%,4.70%,19.90%
"47 Warren, London DAYTON",35,33,21.5,15.8,92.7,89.4,0.429,0.365,53.3,2.2,3.9,10.8,6.7,39.00%,4.70%,1.00%,28.10%
"48 Simpson, Anthony KENT",34,19,22.8,18.5,98.4,89.4,0.468,0.441,38.7,8,9.3,22.1,14.1,3.40%,2.30%,4.90%,10.80%
"49 Smalling, Theo HAMPTN",30,25,22.4,11.2,87.9,89.4,0.453,0.359,91,0,9.9,17.4,12.3,5.70%,1.50%,3.40%,24.80%
"50 Washington, Greg HOFSTR",30,7,20.5,15,103.9,89.6,0.531,0.507,27.5,0,9.7,19.8,13.3,4.00%,2.00%,12.00%,15.90%
"Brock, Calvin ILL",34,5,17.4,20.5,95,89.6,0.492,0.466,26.2,14,9.4,12.7,10.2,10.40%,2.60%,1.10%,16.80%
"Cooperwood, Cory WRIGHT",33,33,24,22.9,110.4,89.8,0.562,0.504,52.7,3.5,12,15.3,12.6,8.00%,2.30%,4.40%,13.10%
"Holmes, John BETHCO",32,13,25.3,24.4,97.6,89.9,0.539,0.493,70,1.8,8.3,19.1,12.2,10.90%,1.90%,2.20%,19.50%
"Wright, Chris DAYTON",35,34,26.1,28.2,102.8,89.9,0.545,0.494,51.6,12.7,11.3,17.6,13.2,8.80%,2.00%,5.90%,16.50%
"Johnson, JaJuan PUR",37,35,26.9,25.2,114.6,89.9,0.589,0.54,45.2,0.9,9.6,14.4,11,6.20%,1.20%,8.30%,10.40%
"Carroll, DeMarre MIZZOU",38,38,28,25.8,121,90.2,0.599,0.576,43.3,10,9.3,18.6,12.9,15.20%,3.10%,2.40%,9.60%
"Johnson, Jason SCARST",31,24,24.6,25.8,114.4,90.3,0.629,0.606,77.2,0.4,14.9,21.9,17,7.60%,2.10%,5.80%,16.70%
"Frazier, Chester ILL",31,31,33.2,12,107.3,90.3,0.574,0.545,35.8,50.7,5.2,11.9,8,28.00%,2.70%,0.90%,30.50%
"Johnson, James WAKE",31,31,30.5,22.4,114.4,90.4,0.598,0.574,28.7,20,9.6,19.2,13.7,12.30%,2.50%,5.00%,16.00%
"Johnson, Damian MINN",30,30,26.7,20.4,108.2,90.4,0.54,0.506,34.9,16.2,8.1,10.6,8.4,13.40%,4.50%,9.30%,13.40%
"Carter, Kellan NICHST",31,31,30.3,10.8,106,90.4,0.589,0.584,46,0.9,3.6,12.1,7.4,13.70%,5.20%,1.40%,23.60%
"Coleman, Thomas NCAT",32,30,26.4,15.9,99.4,90.4,0.611,0.606,60,0.6,9.4,16,11.4,10.10%,1.40%,11.40%,27.60%
"Tandy, George CLEVST",37,7,22,15.3,104.3,90.4,0.543,0.478,49.1,1.3,9.5,18.2,12.5,6.40%,1.80%,4.70%,18.50%
"Booker, Trevor CLEM",32,32,30.7,22,124.1,90.4,0.62,0.585,44.4,6.6,12.1,23.1,16.1,10.60%,2.80%,6.30%,13.00%
"McCray, Toney NEB",30,3,16.4,24.1,87.2,90.4,0.506,0.487,27,19.1,4.4,17.6,10.1,9.40%,3.10%,5.00%,18.70%
"Johnson, Chris DAYTON",34,3,16.2,19.4,119.7,90.5,0.573,0.503,52.3,46.4,14.3,22.2,16.7,7.30%,1.90%,1.10%,12.30%
"Williams, Doug ARMY",30,26,19.2,13.5,103.9,90.5,0.601,0.551,38.8,0,7.1,20.3,12.6,1.60%,1.80%,0.90%,18.50%
"Baynes, Aron WSU",33,33,28.8,24,117.6,90.5,0.64,0.581,55.3,0.4,9.8,23.2,15.5,5.60%,0.70%,5.60%,14.10%
"Finley, Zach PRIN",27,2,16.7,23.8,87.9,90.6,0.497,0.432,42.3,0,9.4,21.7,14.7,15.60%,2.10%,3.30%,25.90%
"Cox, Marques STNBRK",29,28,22.8,5.7,97.2,90.7,0.464,0.405,70.3,29.7,4.3,9.4,6.1,13.00%,4.70%,0.00%,32.20%
"Love, Jason XAVIER",35,35,21.7,15.8,117.6,90.7,0.628,0.539,74.5,0,13.6,17,14.2,4.70%,1.10%,5.50%,20.10%
"Carrington, Zahir LEHIGH",29,28,30.4,28,96.1,90.8,0.502,0.44,58.2,0,10.9,19.2,13.6,8.80%,1.60%,2.60%,16.00%
"Suton, Goran MSU",32,29,26.7,19.1,117.5,90.8,0.617,0.566,33.5,20.3,12.8,23.9,16.6,12.00%,2.60%,2.20%,17.60%
"Graham, Jimmy MIA",30,9,18.7,13.8,95.8,90.8,0.481,0.486,42.9,0,10.4,23.9,15.6,6.50%,1.90%,7.20%,20.40%
"Rougeau, Rene UNLV",32,32,29.8,19.8,110.1,90.9,0.589,0.561,31.4,2.7,9.6,17,12.1,13.30%,2.90%,7.50%,17.00%
"Benn, Bilal NIAG",35,35,34.4,22.4,102.7,90.9,0.513,0.477,27.9,30.3,10.6,17.3,12.5,16.10%,4.00%,1.30%,17.80%
"Williams, Richie SDSU",36,33,30.3,16.5,98,90.9,0.509,0.487,22.8,41.4,4.6,13.1,8.1,22.60%,4.50%,0.30%,24.30%
"Paulhus Gosselin, Max DAVDSN",34,34,26.3,9.9,107.2,90.9,0.506,0.458,36.6,32.8,5,11,7.2,11.50%,3.50%,1.40%,18.70%
"Tisdale, Mike ILL",34,34,24.7,23.1,103.5,90.9,0.567,0.532,23.1,1.8,6.8,12.4,8.9,5.00%,0.80%,6.20%,13.30%
"Jones, Jarrod BALLST",31,30,27.1,27.2,94.5,91,0.496,0.458,39.7,0.3,9.9,22.2,14.7,7.40%,1.60%,4.70%,15.10%
"Spencer, Leon DREXEL",29,0,17,19.6,111.9,91,0.592,0.55,49.6,0,12.6,18.5,14,6.40%,1.20%,8.70%,16.30%
"Davis, Ed UNC",38,2,18.8,17,111.1,91,0.542,0.518,50.3,0,12.5,23.2,16.7,4.70%,1.10%,8.40%,14.60%
"Morris, Marcus KAN",35,22,18.5,22.6,103.5,91,0.545,0.511,55.8,7.9,12.5,16.2,13.4,11.20%,3.30%,2.00%,19.40%
"Brown, John CIT",27,22,19.9,16.1,99.5,91.1,0.569,0.588,35.3,3.9,12.7,26.4,17.7,7.50%,3.80%,2.30%,25.30%
"Tavernari, Jonathan BYU",33,33,31.6,25.9,108.3,91.1,0.544,0.527,12.2,49.4,4.1,21.7,12.3,11.20%,2.80%,1.20%,8.50%
"Chappell, Jeremy RMU",35,35,32.7,27,109.5,91.2,0.594,0.563,19.6,46.8,6,17.3,10.8,22.30%,4.50%,2.20%,17.00%
"Aminu, Alade GT",31,19,27.2,22.4,100.6,91.2,0.54,0.522,32.7,0,10.3,21,14.3,5.40%,2.40%,6.70%,15.60%
"Thompson, Kevin MORGST",35,14,24.4,23.9,91.5,91.2,0.458,0.429,38.8,0,12.5,20.1,14.5,7.00%,1.10%,4.90%,17.30%
"Anderson, Ryan NEB",30,12,24,18.3,104.7,91.2,0.53,0.494,27.9,54.2,3.9,17,9.6,17.60%,3.60%,0.60%,13.40%
"Gibson, Devin UTSA",27,19,28,22.9,110.1,91.2,0.559,0.472,68.1,28.8,3.8,11.4,6.9,23.70%,6.10%,1.20%,16.80%
"Ogilvy, A.J. VANDY",29,28,27.6,28.5,109.3,91.3,0.612,0.555,70,9.6,8,21.1,13.7,11.40%,1.90%,6.30%,17.90%
"Hall, Marquis LEHIGH",29,29,32.9,27,94.3,91.3,0.483,0.435,37.3,45.4,2.2,14.3,7.5,31.10%,3.10%,0.20%,16.90%
"Lyons, Leo MIZZOU",37,33,23.3,30.1,112.1,91.3,0.58,0.5,68.6,3.9,10.2,18.2,13.1,15.80%,2.50%,3.00%,15.50%
"Monroe, Darryl GMU",33,33,29.6,19.5,114.5,91.3,0.587,0.573,46.7,0,11,19.1,13.8,15.00%,2.40%,1.80%,16.10%
"Adrien, Jeff UCONN",36,36,34.6,20.7,110.7,91.4,0.536,0.505,49.5,0.3,10.6,19,13.9,9.20%,0.90%,3.00%,12.40%
"Brown, D'Aundray CLEVST",24,23,29,15.1,108.9,91.4,0.561,0.532,26.8,9.2,10.6,12.4,10.4,17.80%,3.60%,0.80%,20.90%
"Morris, Markieff KAN",35,7,15.6,18.4,99.2,91.5,0.505,0.459,44.8,11.9,11.4,19.9,14.7,11.00%,1.50%,4.80%,21.10%
"Hassell, Frank ODU",35,21,18.9,21.3,114.4,91.5,0.551,0.524,35,0,14.2,18.9,15.2,8.60%,2.00%,5.90%,11.50%
"Heytvelt, Josh GONZ",34,34,29.2,23.3,121.5,91.5,0.617,0.577,45.6,16.7,7.8,16.4,11.4,4.30%,1.20%,3.20%,9.50%
"McKinney, Eric ARKST",29,25,23.9,18.7,111.5,91.6,0.564,0.55,38.1,0.5,10.4,19.4,13.7,4.90%,1.90%,8.70%,11.30%
"Bazemore, Kent ODU",35,9,16.3,20.3,88,91.6,0.468,0.465,44.7,24.1,6.6,15.5,10.1,18.10%,3.70%,1.70%,23.60%
"Barber, Korvotney AUB",36,35,29.8,23.3,103,91.7,0.543,0.545,52.8,0,13.3,22.3,16.1,6.80%,1.30%,4.90%,16.20%
"Tolson, Christopher HAMPTN",32,8,18.6,27.3,82.1,91.7,0.413,0.38,17,64.3,4.3,8.8,5.9,19.80%,3.10%,0.80%,17.30%
"Butler, Tramaine ALST",32,5,15.3,17.9,104.9,91.7,0.505,0.516,45.9,41.8,7.5,11.1,8.6,15.50%,4.10%,0.80%,13.60%
"Beidler, Kelly MTSTMR",33,33,29.8,22,100.9,91.7,0.519,0.485,27.1,33.9,6.6,20.7,12.4,14.30%,2.60%,2.40%,17.20%
"Bullock, J'Nathan CLEVST",37,37,32,26.4,107.8,91.7,0.52,0.462,42.4,25.7,7.1,19.1,11.8,9.90%,1.90%,1.40%,9.40%
"Dyson, Jerome UCONN",24,24,29.3,24.9,106.9,91.8,0.516,0.455,45.5,27.1,4.9,9.4,6.7,20.50%,3.70%,1.00%,13.80%
"McKnight, Chris AKRON",36,25,24.8,20.6,109.5,91.8,0.552,0.496,67.2,20.3,8.9,13.9,10.3,9.50%,2.00%,1.60%,14.30%
"Jones, Kevin WVU",35,0,19.3,17.1,114.5,91.9,0.516,0.503,23.7,7.2,10.6,18.3,12.9,6.70%,1.90%,3.80%,7.80%
"Kickingstallionsims, Chief ALST",32,32,20.5,20.5,111.1,91.9,0.605,0.594,46,0,7.5,14.5,10.3,2.90%,0.60%,12.80%,13.50%
"Robinson, Stanley UCONN",28,24,24.9,18.7,105,91.9,0.539,0.513,32.8,12,9.4,15.3,11.5,8.80%,1.40%,3.90%,16.70%
"Mitchell, Markus MTSTMR",33,33,23.3,11,103.1,91.9,0.562,0.547,26.4,0,9.6,18.4,12.7,11.60%,2.80%,3.10%,27.60%
"Jackson, Dante XAVIER",35,22,27.1,15.7,98.1,91.9,0.523,0.474,35.4,65.1,1.2,12.5,6.7,18.70%,2.90%,0.50%,23.70%
"Monroe, Greg GTOWN",31,31,30.9,22.1,113.7,91.9,0.622,0.576,60,2.4,8.7,16.8,12,18.80%,3.70%,5.10%,19.60%
